name,rate,location,cuisines,cost_for_two,type
Hyderabad Biryaani Palace,3.3,Bellandur,"Chinese, South Indian, North Indian, Biryani",700,Delivery
Pasta Twist,3.7,Bellandur,"Italian, Fast Food",400,Delivery
Nawab's Kitchen,3.7,Bellandur,"Biryani, Chinese",400,Delivery
The Ganache Factory,3.7,Bellandur,"Desserts, Bakery",400,Delivery
Lucknow Central,3,Marathahalli,North Indian,350,Delivery
Lovely Knights,3.5,Bellandur,"North Indian, Chinese",500,Delivery
All In One Desi Khana,3.7,Bellandur,"North Indian, Chinese, Biryani",500,Delivery
California Burrito,3.7,Bellandur,"Mexican, Fast Food",400,Delivery
Archana's First Crush,3.7,Sarjapur Road,"Bakery, Desserts",400,Delivery
Punjabi,3.7,Bellandur,"North Indian, Chinese",500,Delivery
Me And My Cake,3.7,Bellandur,"Bakery, Desserts",500,Delivery
Taste of Chettinad,3.7,Bellandur,"Chettinad, South Indian",400,Delivery
Noodle Oodle,3.7,Bellandur,Chinese,400,Delivery
Elaz Rannaghor,3.7,Bellandur,"Bengali, North Indian",350,Delivery
Telugu Velugu,3,Bellandur,"South Indian, Biryani",300,Delivery
Gowdaaa Mane Oota,3.4,Bellandur,South Indian,200,Delivery
Lazeez,2.7,Bellandur,"North Indian, Mughlai, Biryani",600,Delivery
RICE BAR,3.7,Bellandur,"North Indian, Biryani",500,Delivery
Ghar Ka Aahar,3.7,Bellandur,North Indian,400,Delivery
Burger & Kulfi Plaza,3.7,Bellandur,Fast Food,300,Delivery
Pitta Biryani,3.7,Bellandur,Biryani,400,Delivery
Eat Repeat Express,3.7,Bellandur,"North Indian, Chinese, Continental",600,Delivery
Teekhi Mirrchi,3.7,Bellandur,"Chinese, North Indian",700,Delivery
The French Loaf,3.7,Bellandur,"Bakery, Desserts",400,Delivery
Hotel Thansika,3.7,Bellandur,"South Indian, Biryani",200,Delivery
Biryani Factory,3.7,Bellandur,Biryani,400,Delivery
VM Amul Ice Cream,3.7,Bellandur,Ice Cream,100,Delivery
Shiv Shakti Hotel,3.7,Bellandur,North Indian,200,Delivery
Basaveshwara Khanavali,3.7,Bellandur,North Indian,200,Delivery
Bonfooder,3.9,Sarjapur Road,North Indian,400,Delivery
Cafe At The Atelier,4.2,Sarjapur Road,"Cafe, Continental, Italian, Salad",800,Delivery
Hotel Aahaa,3.7,Bellandur,South Indian,200,Delivery
Best Biryani,3.7,Bellandur,"North Indian, Biryani, Desserts",300,Delivery
Indori Zaika,3.2,Bellandur,North Indian,300,Delivery
Crack That,3.3,Bellandur,Continental,500,Delivery
Yummy Punjabi Delight,3.2,Bellandur,North Indian,500,Delivery
Ande Ka Funda,3,Bellandur,Fast Food,150,Delivery
Nandana Mess,3.4,Bellandur,"South Indian, Chinese",350,Delivery
Pots N Pans,3.3,Bellandur,"North Indian, Chinese, Biryani",600,Delivery
Litti Chokha Junction,3.7,Bellandur,"Bihari, Chinese",250,Delivery
Northern Tadka,3.7,Bellandur,North Indian,400,Delivery
Wangchuk Trail,3.7,Bellandur,Chinese,200,Delivery
Neetu's Kitchen,3.8,Bellandur,"Bengali, North Indian",350,Delivery
Chatorr,2.9,Bellandur,"Fast Food, Street Food",400,Delivery
New Desi Paratha Point,3.7,Bellandur,"North Indian, Chinese",400,Delivery
Paani Puri Adda,3.7,Bellandur,North Indian,300,Delivery
Flamin Grill,3.5,Bellandur,"Lebanese, Turkish, BBQ, Burger",600,Delivery
Sultan's Biryani,3.1,Bellandur,"Biryani, North Indian",700,Delivery
Eatsomnia,3.5,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",500,Delivery
#FeelTheROLL,3.4,Bellandur,Fast Food,200,Delivery
38 Sugar Lane,3.7,Bellandur,"Bakery, Desserts",850,Delivery
Mast Biryani - Fresh Indian Kitchen,3.2,Bellandur,"Biryani, North Indian, Mughlai, Fast Food",500,Delivery
BTM Bawarchi Biryani,3.7,Bellandur,"Biryani, North Indian, Chinese",600,Delivery
Hotel Masthi Kabab,3.1,Bellandur,"North Indian, Chinese",300,Delivery
Palki's,3,Bellandur,"North Indian, Biryani",800,Delivery
Al Khwaja,3,Bellandur,"North Indian, Chinese",400,Delivery
Spice Of Kolkata,2.8,Bellandur,"Bengali, Rolls, Chinese",400,Delivery
Spicy Hub,3,Bellandur,North Indian,400,Delivery
Devi's Cakes N Bakes,3.6,Bellandur,"Bakery, Desserts",200,Delivery
Ramana Hotel,3.7,Bellandur,"South Indian, North Indian",300,Delivery
Annabell,3.7,Bellandur,"Continental, Beverages",700,Delivery
Taste Of India,3.1,Bellandur,"North Indian, Rolls",400,Delivery
Tyohaar Restaurant,3.7,Bellandur,"Hyderabadi, Biryani",400,Delivery
Cravingz,3.7,Bellandur,"Fast Food, Beverages",400,Delivery
Pi±ata,3.7,Bellandur,Bakery,400,Delivery
Coffee Tea & More,3.7,Bellandur,"Fast Food, Coffee",100,Delivery
Biryani Treat,3.7,Bellandur,Biryani,400,Delivery
MK Dabbawala,3.7,Bellandur,North Indian,400,Delivery
Vandana Mess,3.7,Bellandur,South Indian,200,Delivery
Biryani Cart,3.7,Bellandur,"Biryani, North Indian",400,Delivery
Five Satr Chiken,3.7,Bellandur,Fast Food,300,Delivery
Savi Sagar,3.2,Bellandur,"North Indian, South Indian, Chinese",400,Delivery
Spice Garden by Dum Mast Biryani,3.2,Bellandur,"North Indian, South Indian, Biryani, Continental",550,Delivery
Mumichi,3.7,Bellandur,North Indian,150,Delivery
Cafe Olive,3.8,Bellandur,"Cafe, European, Beverages, Italian",550,Delivery
La Mirch,3.7,Bellandur,"North Indian, Kashmiri",400,Delivery
Starve Nights,3.7,Bellandur,"Biryani, Chinese, North Indian",450,Delivery
Parathabox,3.8,Bellandur,"Fast Food, North Indian",150,Delivery
Sona's Kitchen,3.7,Bellandur,North Indian,300,Delivery
Chaatora Ghar,3.7,Bellandur,North Indian,200,Delivery
Kabab Ghar,3.1,Bellandur,"Biryani, North Indian, Kebab",600,Delivery
Chicken Shawarma Hub,3.1,Bellandur,"Fast Food, Arabian, Beverages",250,Delivery
Mont Blanc Cafe,3.8,Bellandur,"Cafe, Bakery, Italian",650,Delivery
Vishal Foods,3.7,Bellandur,Fast Food,300,Delivery
Dosa Time,3.7,Sarjapur Road,South Indian,150,Delivery
Spicy Andhra,2.9,Marathahalli,"Andhra, North Indian, Chinese",600,Delivery
Nite Out,4,Sarjapur Road,"North Indian, Chinese, Biryani",500,Delivery
Visantoe,3.7,Marathahalli,"Steak, Continental",500,Delivery
The Rice Company,3.7,HSR,"North Indian, Biryani",600,Delivery
Mughal Samraj,3.2,Bellandur,Fast Food,600,Delivery
That Garage Cafe,3.1,HSR,"Cafe, Italian, Continental, European",650,Delivery
Atithi Food Park,3.7,Marathahalli,"South Indian, North Indian, Chinese",450,Delivery
Papacream,3.8,Sarjapur Road,"Desserts, Ice Cream",350,Delivery
Santo's,3.7,Marathahalli,North Indian,500,Delivery
Tandoori Ghar,3.7,Bellandur,"North Indian, Chinese, Biryani",400,Delivery
Cupcake Noggins,3.9,Sarjapur Road,"Desserts, Bakery",300,Delivery
Zaika of North,3.7,Sarjapur Road,"North Indian, Chinese",500,Delivery
Ghar Ka Chulha,3.7,Marathahalli,North Indian,150,Delivery
Burger Crush,3.2,Sarjapur Road,Fast Food,500,Delivery
Juice Berg,3.3,Sarjapur Road,Juices,200,Delivery
Court Cafe,3.7,Sarjapur Road,"Fast Food, Beverages",300,Delivery
Wang's Xanadu Momo,3.8,HSR,"Tibetan, Chinese, Momos",250,Delivery
Biriyani Bungalow,3.1,HSR,"Biryani, North Indian",600,Delivery
Chination,3.7,Sarjapur Road,Chinese,600,Delivery
Yummy Pot,3.7,HSR,North Indian,300,Delivery
Chriz Cafe,3.5,Sarjapur Road,"South Indian, Biryani",400,Delivery
Healthy Sapiens,3.8,Frazer Town,"American, European, Healthy Food",300,Delivery
Lassi & More,3.7,HSR,Juices,150,Delivery
Nawab-E-Khana,3.7,Bellandur,"North Indian, Biryani",500,Delivery
Aaha Andhra,3.7,Bellandur,"Andhra, Biryani, North Indian",900,Delivery
Mint Spice Cafe & Restaurant,3,Bellandur,"North Indian, Chinese",500,Delivery
Goodness! Beverages,3.7,Marathahalli,Beverages,250,Delivery
Swathi Deluxe,3.9,Marathahalli,"North Indian, Seafood, Chinese, Biryani",750,Delivery
Ultra Biriyani Paradise,3.2,Sarjapur Road,Biryani,300,Delivery
Zangos Grill,3.7,Marathahalli,"BBQ, Fast Food",300,Delivery
THE RIG,4.3,Sarjapur Road,"Continental, Finger Food, Pizza",1500,Delivery
Butter Side Up,4.1,Bellandur,"Desserts, Bakery",600,Delivery
Just Delhiwala,3.8,Bellandur,North Indian,300,Delivery
Madurai Veg Kitchen,3.7,Bellandur,"North Indian, Chinese, South Indian",200,Delivery
Cafe Talkhouse,3.8,HSR,North Indian,400,Delivery
Waffle Stories,3.7,HSR,"Desserts, Beverages",300,Delivery
Foodzoo,3.7,HSR,"North Indian, Chinese, Street Food",300,Delivery
Mumbai Kulfi,4,HSR,Ice Cream,100,Delivery
Tastebuds,3.7,Sarjapur Road,"Bakery, Fast Food",300,Delivery
Punjabi Chulla,3.2,Bellandur,North Indian,300,Delivery
Rolls Kitchen,3.2,Marathahalli,"Fast Food, Rolls",250,Delivery
Wow Vada Pav,3.7,HSR,"Street Food, Burger, Fast Food",150,Delivery
Anand Sweets And Savouries,4.2,Sarjapur Road,"Mithai, Street Food",400,Delivery
Nayi Dilli by Anand Sweets,4,Sarjapur Road,"North Indian, Chinese",1000,Delivery
Cauvery Hyderabadi Biriyani,3.8,Marathahalli,"North Indian, Chinese",600,Delivery
Flavours - Octave Hotel & Spa,3,Sarjapur Road,"North Indian, Chinese",700,Delivery
Petoo,3.7,Sarjapur Road,"North Indian, Fast Food",450,Delivery
B'Town Cafe & Restaurant,3.5,Marathahalli,"Arabian, Continental",350,Delivery
Imperio Cafe,3.9,Whitefield,"Cafe, Fast Food, Pizza, Burger, Beverages",200,Delivery
Good Food Kitchen,3.4,Sarjapur Road,North Indian,400,Delivery
Sree Lakshmi Venkateshwara Andhra Mess,3.5,Marathahalli,"Andhra, South Indian",400,Delivery
Baba Da Dhaba,3.6,Sarjapur Road,North Indian,650,Delivery
Paratha Plaza,3.5,Sarjapur Road,North Indian,250,Delivery
Delice - Novotel,3.8,Marathahalli,"Desserts, Bakery",800,Delivery
The Shed,3.7,Sarjapur Road,"Cafe, Fast Food",400,Delivery
A La Carte Restaurant,3.7,Sarjapur Road,"Chinese, North Indian",500,Delivery
Delish Multi Cuisine Andhra Style Restaurant,3.7,Sarjapur Road,"Andhra, Chinese, South Indian, North Indian",600,Delivery
Lassi Cafe,3.6,Sarjapur Road,"Beverages, Street Food, North Indian",300,Delivery
Payohima,3.7,Sarjapur Road,"South Indian, Ice Cream",1000,Delivery
Fine Day,3.1,Sarjapur Road,"Biryani, Andhra, North Indian",500,Delivery
Biryani Treat,3.7,Sarjapur Road,Biryani,400,Delivery
Heavenly Desserts,3.6,Sarjapur Road,Bakery,300,Delivery
Punjabi Last Stand,3.7,Sarjapur Road,North Indian,300,Delivery
RJ Kitchen,3.7,Sarjapur Road,North Indian,300,Delivery
Biggies Burger 'n' More,3.7,Sarjapur Road,"Burger, American, Beverages, Cafe",650,Delivery
Mangala Hotel,3.7,Sarjapur Road,South Indian,100,Delivery
Runiq,3.7,Sarjapur Road,North Indian,300,Delivery
North Met South,3.7,Sarjapur Road,"North Indian, South Indian",800,Delivery
C R Mangalore Bakery,3.7,Sarjapur Road,Bakery,300,Delivery
Cafe Petu,3.7,Sarjapur Road,"North Indian, Chinese, Italian",300,Delivery
Punjabi Paratha House,3.7,Sarjapur Road,North Indian,300,Delivery
Kriti Dugar,3.4,Marathahalli,Desserts,200,Delivery
Nandhini Deluxe,2.9,Sarjapur Road,"Andhra, North Indian",800,Delivery
WOW MOMO,3.4,Marathahalli,"Tibetan, Momos",300,Delivery
Lluvia Bakery,3.4,Sarjapur Road,Bakery,350,Delivery
Rolls On Wheels,3.5,Sarjapur Road,"Fast Food, Rolls, Momos",300,Delivery
Helloo Delhi,3.2,Sarjapur Road,North Indian,1000,Delivery
Chai Resto,3.6,Bellandur,"Fast Food, Tea",200,Delivery
Flavored With Love,3.7,Bellandur,Bakery,200,Delivery
Tasty Yum,3.7,Sarjapur Road,"South Indian, Mughlai",300,Delivery
Dunkin' Donuts,3.7,Sarjapur Road,Desserts,300,Delivery
Andhra Spice,3.7,Sarjapur Road,"North Indian, Hyderabadi, Chinese, South Indian, Beverages, Desserts",600,Delivery
Sardar Ka Chullah,3.7,Marathahalli,North Indian,400,Delivery
Punjabi Home Made Food,3.7,Bellandur,North Indian,400,Delivery
Chawla's 2 Online.com,3.7,Sarjapur Road,North Indian,800,Delivery
Smokin Bites,3.4,Sarjapur Road,"North Indian, Chinese",200,Delivery
Health Gourmet,3.8,Sarjapur Road,"Continental, American, Mediterranean, Healthy Food",600,Delivery
Detox Kitchen,3.1,HSR,"Healthy Food, Beverages, Salad",500,Delivery
China On My Plate,2.8,Bellandur,Chinese,800,Delivery
Paratha King,3.1,Bellandur,North Indian,300,Delivery
Hotel S Mom,3.7,Bellandur,"South Indian, Hyderabadi, Chinese",350,Delivery
Food Singh,3.7,Sarjapur Road,North Indian,500,Delivery
Sethi's,3.7,Sarjapur Road,"North Indian, Chinese, BBQ",600,Delivery
Navab's,3.7,Sarjapur Road,Mughlai,600,Delivery
Wat-a-Biryani,3.7,Sarjapur Road,Biryani,500,Delivery
Delhi Food Factory,3.7,HSR,North Indian,500,Delivery
Coffee Tea & More,3.7,Marathahalli,"Beverages, South Indian",300,Delivery
Kakatiya's,3.1,HSR,"South Indian, Biryani",250,Delivery
Hyderabadi Biryani Hub,3.5,Bellandur,"Biryani, North Indian, Chinese",600,Delivery
Hangouts @ Kashish Caterers,3.4,HSR,"Biryani, Kebab",400,Delivery
Jagan's Hotel,3.7,HSR,"South Indian, North Indian",200,Delivery
Go Gharelu,3.1,Marathahalli,"North Indian, Biryani",250,Delivery
Tempteys,3.7,HSR,Beverages,500,Delivery
Speedy Chow,3.7,Marathahalli,"Chinese, Thai",500,Delivery
Savours,3.3,Sarjapur Road,"North Indian, South Indian, Chinese",350,Delivery
Happy Endings,4.3,Bellandur,"Bakery, Desserts, Italian",500,Desserts
Baker's Home,4,Bellandur,"Bakery, Desserts",300,Desserts
Cakes Wagon,3.4,Bellandur,"Desserts, Bakery",300,Desserts
Kanti Sweets,4,Bellandur,"Mithai, Street Food",400,Desserts
eat.fit,4.4,Bellandur,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Desserts
Apsara Ice Cream,4.1,Bellandur,"Ice Cream, Desserts",200,Desserts
Murli,3.9,Bellandur,"North Indian, Chinese, Street Food, Fast Food, Mithai",500,Desserts
XO Belgian Waffle,3.7,Bellandur,"Desserts, Beverages",400,Desserts
CakeZone,3.7,Bellandur,"Bakery, Desserts",500,Desserts
Keventers,3.6,Bellandur,"Desserts, Beverages, Ice Cream",400,Desserts
Polar Bear,4.2,Bellandur,"Ice Cream, Desserts, Beverages, Sandwich",400,Desserts
Mont Blanc Cafe,3.8,Bellandur,"Cafe, Bakery, Italian",650,Desserts
Laddoos,2.9,Bellandur,"North Indian, Street Food, Mithai",250,Desserts
Chef Baker's,3.6,Bellandur,"Bakery, Fast Food, Pizza, Burger, Cafe",600,Desserts
Cake Town Cafe,3.9,Bellandur,"Bakery, Desserts",500,Desserts
Food Theory,3,Bellandur,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500,Desserts
Butter Side Up,4.1,Bellandur,"Desserts, Bakery",600,Desserts
Gooey & Fluffy,3.7,Bellandur,"Desserts, Bakery",200,Desserts
Melting Melodies,3.6,Bellandur,"Desserts, Bakery",300,Desserts
Sweet Truth,3.7,Bellandur,"Bakery, Desserts",500,Desserts
Cafe Daily Bread,3.7,Bellandur,"Bakery, Fast Food, Italian",600,Desserts
Smoor,3.7,Bellandur,"Desserts, Beverages",900,Desserts
Lassi Corner,3.2,Bellandur,"Beverages, Desserts",300,Desserts
Artinci Artisanal Ice Cream,3.7,Bellandur,"Ice Cream, Desserts",300,Desserts
Pop Hop,3.5,Bellandur,"Ice Cream, Desserts",300,Desserts
Just Bake,3.7,Bellandur,"Bakery, Desserts",400,Desserts
Carnival Cakes & Breads,3.7,Bellandur,"Bakery, Fast Food, Fast Food",200,Desserts
Bombay Kulfis,3.7,Bellandur,Ice Cream,200,Desserts
Nutty Squirrel,3.8,Bellandur,"Ice Cream, Desserts",300,Desserts
The Ganache Factory,3.7,Bellandur,"Desserts, Bakery",400,Desserts
Baskin Robbins,3.7,Bellandur,"Ice Cream, Desserts",250,Desserts
Delitz Creamvilla Cafe,4,Bellandur,"Cafe, Desserts, Ice Cream",600,Desserts
Milkyway Ice Creams,3.7,Bellandur,Ice Cream,300,Desserts
Oven Fresh,3.2,Bellandur,"Bakery, Fast Food",600,Desserts
Coffee Bike,3.7,Bellandur,"Fast Food, Beverages",250,Desserts
Me And My Cake,3.7,Bellandur,"Bakery, Desserts",500,Desserts
Re:fuel- Aloft Bengaluru Cessna Business Park,3.7,Bellandur,"Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich",1000,Desserts
Cake Dilim,3.3,Bellandur,"Bakery, Desserts",400,Desserts
The Chocolate Heaven - Cakes,3.7,Bellandur,"Desserts, Bakery, Beverages",600,Desserts
The French Loaf,3.7,Bellandur,"Bakery, Desserts",400,Desserts
Bangalore Agarwal Bhavan,3.2,Bellandur,"Mithai, Street Food, Fast Food",200,Desserts
Squeez Juice Bars,3.3,Bellandur,"Beverages, Fast Food",200,Desserts
38 Sugar Lane,3.7,Bellandur,"Bakery, Desserts",850,Desserts
Devi's Cakes N Bakes,3.6,Bellandur,"Bakery, Desserts",200,Desserts
Pi±ata,3.7,Bellandur,Bakery,400,Desserts
Oz Pies,3.8,Bellandur,"Australian, Continental",400,Desserts
Cupcake Bliss,3.3,Bellandur,Bakery,250,Desserts
Stoner,4.3,Sarjapur Road,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,Desserts
Anand Sweets And Savouries,4.2,Sarjapur Road,"Mithai, Street Food",400,Desserts
Soul Treat,4.3,Sarjapur Road,"Bakery, Desserts, Healthy Food",750,Desserts
Natural Ice Cream,4.3,Sarjapur Road,"Ice Cream, Desserts",150,Desserts
Cold Smith Ice Creams,3.9,Sarjapur Road,"Ice Cream, Desserts",450,Desserts
Waffle Talesz,3.6,Sarjapur Road,Desserts,200,Desserts
Karachi Bakery,3.7,Sarjapur Road,"Bakery, Desserts",400,Desserts
Light House Cafe,3.7,Marathahalli,"Cafe, Beverages, Continental, North Indian, Chinese",700,Desserts
Lluvia Bakery,3.4,Sarjapur Road,Bakery,350,Desserts
Bombay Kulfi,3.8,Marathahalli,"Desserts, Ice Cream",150,Desserts
Carlos Cake Cafe,3.8,Sarjapur Road,"Bakery, Desserts",300,Desserts
Cake Delights,3.6,Sarjapur Road,"Bakery, Desserts",500,Desserts
Cupcake Noggins,3.9,Sarjapur Road,"Desserts, Bakery",300,Desserts
Frozen Bottle,3.6,Sarjapur Road,"Beverages, Desserts, Ice Cream",400,Desserts
Payohima Ice Creams,3.9,Sarjapur Road,Desserts,300,Desserts
Tastebuds,3.7,Sarjapur Road,"Bakery, Fast Food",300,Desserts
Delice - Novotel,3.8,Marathahalli,"Desserts, Bakery",800,Desserts
INDULGE by InnerChef,3.6,Sarjapur Road,"Desserts, Bakery",400,Desserts
Papacream,3.8,Sarjapur Road,"Desserts, Ice Cream",350,Desserts
Archana's First Crush,3.7,Sarjapur Road,"Bakery, Desserts",400,Desserts
Lassi Cafe,3.6,Sarjapur Road,"Beverages, Street Food, North Indian",300,Desserts
Lassi Shop,3.7,Sarjapur Road,"Beverages, Ice Cream, Fast Food",300,Desserts
Homemade Delite,3.6,HSR,"Bakery, Desserts",200,Desserts
Hokey Pokey Ice Creams,3.9,Sarjapur Road,"Ice Cream, Desserts",350,Desserts
The Gulkand Store,3.7,BTM,"Desserts, Ice Cream",100,Desserts
Heavenly Desserts,3.6,Sarjapur Road,Bakery,300,Desserts
Minus 4,3.3,Sarjapur Road,Desserts,300,Desserts
C R Mangalore Bakery,3.7,Sarjapur Road,Bakery,300,Desserts
Cafe Coffee Day,3.1,Sarjapur Road,"Cafe, Fast Food",900,Desserts
Kriti Dugar,3.4,Marathahalli,Desserts,200,Desserts
Warm Oven,3.9,Sarjapur Road,"Bakery, Desserts",500,Desserts
Cake Box,2.9,Marathahalli,"Bakery, Desserts",400,Desserts
Dunkin' Donuts,3.7,Sarjapur Road,Desserts,300,Desserts
MoMo Cafe - Courtyard by Marriott,4.2,Bellandur,"Asian, North Indian, South Indian, Momos",2000,Dine-out
Kava - Fairfield by Marriott,3.9,Bellandur,"North Indian, South Indian, Continental",1500,Dine-out
Punjabi Times,4.1,Bellandur,North Indian,1100,Dine-out
Ruh,4.1,Bellandur,"North Indian, Mughlai, Mediterranean, Iranian",1000,Dine-out
Bombay Brasserie,4.3,Bellandur,Modern Indian,1800,Dine-out
The Irish House,4.2,Bellandur,"European, American",1700,Dine-out
Chili's American Grill & Bar,4.5,Bellandur,"American, Tex-Mex, Burger, BBQ",1800,Dine-out
Tipsy Bull - The Bar Exchange,4.4,Bellandur,"North Indian, Chinese, Continental, Mexican",1400,Dine-out
Mani's Dum Biryani,4,Bellandur,"Biryani, Kebab",750,Dine-out
Maia - Eat | Bake | Mom,4.3,Bellandur,"Continental, North Indian, Beverages",1200,Dine-out
Chullah Chandigarh,4.2,Bellandur,North Indian,800,Dine-out
Nook - Aloft Bengaluru Cessna Business Park,4.3,Bellandur,"North Indian, Continental, Asian",1800,Dine-out
Chaarcoal,4,Bellandur,North Indian,1200,Dine-out
Bathinda Dine,4,Bellandur,North Indian,950,Dine-out
Shake It Off,4,Bellandur,"Beverages, Fast Food",600,Dine-out
Eden Huts Restaurant,4,Bellandur,"Chinese, North Indian",400,Dine-out
Dalchini,4,Bellandur,North Indian,700,Dine-out
Thalassery Restaurant,3.4,Bellandur,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600,Dine-out
Empire Restaurant,3.8,Bellandur,"North Indian, Mughlai, South Indian, Chinese",750,Dine-out
Sharaab Factory,3.9,Bellandur,"Biryani, North Indian",1500,Dine-out
Coastal Fish Land,3.7,Bellandur,Mangalorean,500,Dine-out
The Rasaganga,3.7,Bellandur,"South Indian, North Indian, Chinese, Street Food",500,Dine-out
Skylit - Citrus Hotels,3.6,Bellandur,"North Indian, Mughlai, Mediterranean",1500,Dine-out
Samaroh,4,Bellandur,North Indian,1200,Dine-out
Kanti Sweets,4,Bellandur,"Mithai, Street Food",400,Dine-out
Story Time,3.7,Bellandur,"North Indian, South Indian, Andhra, Cafe",500,Dine-out
Health Zingo,3.8,Bellandur,"North Indian, Salad, Healthy Food",600,Dine-out
Basmati Restaurant,3.8,Bellandur,"Biryani, Andhra, North Indian, Chinese",900,Dine-out
The Salad Studio,4,Bellandur,"Cafe, Healthy Food, Salad",400,Dine-out
Sichuan,4.1,Bellandur,"Chinese, Asian, Seafood",800,Dine-out
Gusto's Pizza,3,Bellandur,"Pizza, Italian",500,Dine-out
Smoke - The Sizzler House,3.3,Bellandur,"Continental, Chinese, Thai, BBQ, Steak",900,Dine-out
Blue Berry Restaurant,3.9,Bellandur,"North Indian, Biryani, Chinese, Beverages",650,Dine-out
Murli,3.9,Bellandur,"North Indian, Chinese, Street Food, Fast Food, Mithai",500,Dine-out
Flavors of India,3.7,Bellandur,"Chinese, North Indian, Salad, Fast Food",1500,Dine-out
Cooking Mom,2.9,Bellandur,"North Indian, Andhra",800,Dine-out
@ The Bbq,3.7,Bellandur,"BBQ, Continental, North Indian, Chinese, Beverages",700,Dine-out
BG's Poolside Bar & Grill,4.1,Bellandur,"Mediterranean, Italian, Mexican",1600,Dine-out
Glassy,4.2,Bellandur,"North Indian, Chinese",1400,Dine-out
Manchow,3.8,Bellandur,"Chinese, Asian, Momos",600,Dine-out
Mont Blanc Cafe,3.8,Bellandur,"Cafe, Bakery, Italian",650,Dine-out
Nukkad,3,Bellandur,"North Indian, Chinese",500,Dine-out
Moriz Restaurant,2.6,Bellandur,"Arabian, North Indian, Seafood, Chinese, Biryani",800,Dine-out
Food Theory,3,Bellandur,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500,Dine-out
Kerala Mess Upahar,3.7,Bellandur,"Kerala, Biryani, South Indian",300,Dine-out
Ambur Dum Biryani,3.7,Bellandur,"Biryani, South Indian",250,Dine-out
Unico,3.7,Bellandur,"North Indian, Biryani, Chinese",550,Dine-out
Drunken Monkey,3.4,Bellandur,"Beverages, Fast Food",400,Dine-out
Andhra Spicy,3.5,Bellandur,"Andhra, Biryani",400,Dine-out
Hyderabadi Biriyani,3.4,Bellandur,"Biryani, Hyderabadi, Chinese, North Indian",800,Dine-out
Nellore Andhra Mess,3.7,Bellandur,"Andhra, South Indian",300,Dine-out
Wimpie Cafe & Restaurant,3.7,Bellandur,"Andhra, North Indian",500,Dine-out
Sri Murali Krishna,3.7,Bellandur,"North Indian, Chinese, Biryani",600,Dine-out
Azura Restaurant,2.8,Bellandur,"North Indian, Mughlai, Chinese, Arabian, Kerala",500,Dine-out
BISO - Citrus Hotels,3,Bellandur,"North Indian, Italian, Chinese, Asian",1000,Dine-out
Cafe Jezve,4,Bellandur,Cafe,500,Dine-out
Aapni Rasoi,3.2,Bellandur,North Indian,400,Dine-out
Chai Point,3.9,Bellandur,"Tea, Beverages, Fast Food",250,Dine-out
Tandoori Ghar,3.7,Bellandur,"North Indian, Chinese, Biryani",400,Dine-out
Biryani House,3.5,Bellandur,"Andhra, Biryani, Chinese, North Indian",600,Dine-out
Starbucks,3.9,Bellandur,"Cafe, Desserts",700,Dine-out
Sri Sai Mango Tree Restaurant,3.6,Bellandur,"North Indian, Biryani, Chinese",600,Dine-out
White Horse Pulse Resto Bar,3.3,Bellandur,"North Indian, Chinese",1000,Dine-out
Sai Ram Andhra Mess,3.2,Bellandur,"South Indian, North Indian",300,Dine-out
Puro Gusto,3.9,Bellandur,Cafe,400,Dine-out
Hyderabadi Biryani Hub,3.5,Bellandur,"Biryani, North Indian, Chinese",600,Dine-out
Paratha's Kitchen,2.8,Bellandur,"North Indian, South Indian",200,Dine-out
Tata Cha,3.6,Bellandur,"Tea, Fast Food, Cafe",400,Dine-out
The Punjabi,2.9,Bellandur,"North Indian, Mughlai, Biryani, Chinese",550,Dine-out
Cafe Coffee Day,3.1,Bellandur,"Cafe, Fast Food",900,Dine-out
Chef's Gallery,3.5,Bellandur,"Chinese, Italian, North Indian",700,Dine-out
Tea Totallers,2.9,Bellandur,"Cafe, Continental, Tea",500,Dine-out
Annalakshmi,3.5,Bellandur,"Andhra, Chettinad",700,Dine-out
Kaka Singh,2.6,Bellandur,North Indian,400,Dine-out
Hyderabadi Zaiqa,3.1,Bellandur,"Hyderabadi, North Indian, Biryani",700,Dine-out
Aaha Andhra,3.7,Bellandur,"Andhra, Biryani, North Indian",900,Dine-out
Atithi Family Bar & Restaurant,3.6,Bellandur,"North Indian, South Indian, Andhra",500,Dine-out
Mint Spice Cafe & Restaurant,3,Bellandur,"North Indian, Chinese",500,Dine-out
Annapurna Foods,3.5,Bellandur,"North Indian, Chinese, Hyderabadi",400,Dine-out
Hyderabad Biryaani Palace,3.3,Bellandur,"Chinese, South Indian, North Indian, Biryani",700,Dine-out
China On My Plate,2.8,Bellandur,Chinese,800,Dine-out
Asia In A Box,3.1,Bellandur,"Thai, Asian",550,Dine-out
Bellandur Kitchen,3.4,Bellandur,"North Indian, Chinese",400,Dine-out
